sku_componente,vezes_em_kits,qtd_total
000134,1111,26927.0
158.1,1096,26887.0
000017,899,27234.0
000031,872,17129.0
000016,835,18859.0
000004,782,18152.0
000161,719,17869.0
000019,596,16824.0
000140,586,11881.0
000146,496,10920.0
000242,491,9978.0
000006,438,8944.0
000026,409,7248.0
1180,383,9907.0
000198,374,8265.0
000014,306,5128.0
41455,298,8110.0
49427,253,6411.0
1004007,243,5889.0
889590,229,4087.0
27102,216,8740.0
000254,212,8085.0
859650,197,3963.0
0108,193,4070.0
52531,187,4603.0
000256,181,3848.0
MADOB7BIMA,160,5579.0
37877,153,3523.0
Transparente,150,3689.0
000041,148,2478.0
619205840061,110,1059.0
1293944,99,2493.0
50571,96,2413.0
63432,88,1899.0
000177,86,2031.0
928632,85,1697.0
1551,80,1769.0
RJAP01038,78,1193.0
171,69,1730.0
MAMBDIMV,69,1503.0
895767,67,695.0
763,66,1807.0
MABRPC,62,908.0
1475,55,817.0
44903,51,1760.0
PA0010,49,1346.0
JY 1098,45,881.0
573429,40,1915.0
64371,39,988.0
1269345,37,63.0
