sku_kit,componentes
KLNCS4,21
10080,20
KLNCM2,19
KLNCS2,19
KLNCS6,18
KLNCS7,18
10050,17
20014,17
CLDC151515,17
KLNCS3,17
KLNCS5,17
KMBMV5001,17
GAR0195,16
GAR0201,16
23993252652,15
KITLCS01,15
KLNCM1,15
KLNCQ1,15
KLNCS1,15
10134,14
KCLNVTL,14
KMBMV4199,14
KMBMVRP0140,14
20399675906,13
23093825063,13
540596,13
KMBMV1036,13
KMBMV520,13
KMBMV5215,13
KMBPH1020,13
KMBPH1036,13
KMBPH1037,13
KMBPH1052,13
KMS1,13
MLB3846293445,13
10034,12
10SACK6,12
20SACK6,12
23398355562,12
30SACK6,12
534258,12
534283,12
719822,12
781626,12
KITCLIENTE50,12
KITMBSHPR004,12
KMBMV2111,12
KMBMV5235,12
KMBMV9188,12
KMBMVRP325,12
